,a,b,wt,wt_b,genes
0,2.322867082337664,2.2503310326074457,2.3610301643667153,2.2724764292367134,dnaA
1,2.461032916035658,2.425353456387131,2.546291400060833,2.4379592564712933,dnaN
2,2.115156900710105,2.013380612878825,2.145740256022111,2.011502800875823,recF
3,2.203611590519898,2.1254978079388764,2.2279250917225446,2.0885371284734555,gyrB
4,1.6239396157771935,1.5141755662131064,1.6912221594349883,1.5861750977627025,PA14_00060
5,1.8596845824374524,1.645888641544812,1.8147988429581894,1.655717137722082,PA14_00070
6,2.692459859528178,2.730496040144955,2.7085006632720905,2.537182380977485,PA14_00080
7,1.6915233011771522,1.6463312665263266,1.7520695477156538,1.658239775496223,glyS
8,1.77234118116593,1.7042724224116175,1.8045138874153834,1.7365932732587066,glyQ
9,1.4935145687575835,1.3773477263967469,1.5368154433454595,1.3734682167315937,tag
10,1.9398749260026786,1.7967002635420046,1.964845495385877,1.8428330291736033,PA14_00120
11,1.9994486824735953,1.8296483240676404,1.9243290602851333,1.8347381126937574,PA14_00130
12,1.5592568681331638,1.5570520766136917,1.5343896754612825,1.4941630399896098,PA14_00140
13,1.4189898142749353,1.4242891544319292,1.3464758330652717,1.2868410663501424,PA14_00150
14,1.5593239632986466,1.5567871078971378,1.6611894184098264,1.677451923710746,PA14_00160
15,1.8482327128561922,1.814782488854014,1.9693849231721507,1.8807324721534102,trkA
16,1.3098668962133853,1.2222983858398013,1.3898505704797959,1.3249603449895186,PA14_00180
17,1.2613659307062774,1.1471348289859746,1.3501741061754238,1.3141609707628406,fmt
18,2.4067528590714935,2.2991756696684953,2.4977449301158963,2.376732579035925,def
19,1.9111645040027072,1.847525206978275,2.0503569615839563,1.9877443612092456,PA14_00210
20,0.38488682269996266,0.41757104393186406,0.45706832323362523,0.6772403791501772,PA14_00230
21,1.4558899402515326,1.4204389899874317,1.5980864585348102,1.5571006237763203,PA14_00240
22,1.8476811515982858,1.801843107088802,1.9290807755038124,1.8781046225786513,qor
23,1.3820337609687792,1.3181526551408487,1.48173283487725,1.4632719096293223,hemF
24,1.165737045264626,1.1657953585174579,1.329830245780114,1.2502814903003647,aroE
25,2.4046041410641217,2.317845664018627,2.3002505410304925,2.248144894576798,plcB
26,2.0754831770970754,1.9979031882931428,1.9006534981390713,1.7898792002770862,PA14_00310
27,1.5534726810129114,1.461091300244754,1.3879047791091377,1.3103307887361761,PA14_00320
28,1.1785073523185068,1.1420438232585044,1.0714054754474378,1.1437428202499054,PA14_00340
29,0.9828661960490956,0.966192964305766,1.143172352457012,1.0541898835468368,PA14_00360
30,1.2803403812194185,1.2483969268942625,1.4277087198126004,1.3525638686832386,betC
31,1.1791936766175881,1.1582325899681671,1.3843698673671312,1.3029608814166247,PA14_00400
32,1.815036877262792,1.665613139532306,1.8910177163800994,1.682010974970554,PA14_00410
33,1.2914254460366947,1.2811838467232954,1.3740938497566122,1.3250269301168225,PA14_00420
34,1.0999418752367958,1.0721835966360593,1.1655314138593036,1.0215026375123346,PA14_00430
35,1.6545428413840522,1.6320421395147509,2.027431821113301,1.754340574233467,trpA
36,1.8244340378656445,1.7542278444088173,2.1931781638833345,1.890169254022022,trpB
37,0.7345216434398641,0.739645637048143,0.8789898203864914,0.9320898291274107,trpI
38,3.509339622784493,3.5046248195781797,3.277418569899801,3.123894708109276,PA14_00470
39,3.88830565662259,3.8401363454655857,3.724035784588246,3.592025279167207,PA14_00480
40,0.9844478999055672,1.0330911052839606,1.1577014662857834,1.212604996827075,PA14_00490
41,0.7837099549229761,0.763580884729712,0.8705718968707582,0.9977527908030636,PA14_00510
42,1.1930632254239333,0.9593073668652387,1.2518823211952987,1.3174943523319973,PA14_00520
43,1.4847742729505224,1.334160399172778,1.545906681598348,1.4748953511235836,PA14_00530
44,0.8793037936156746,0.8366166135967303,1.0336298803492703,1.0959682009003522,PA14_00550
45,1.43426409209208,1.3879592019126368,1.5066493239474092,1.4905934717142453,exoT
46,0.8949700890360733,0.8435813915655809,0.9188149115576638,1.0297271270136625,PA14_00570
47,1.1021645744757398,1.0827748853878973,1.1554234251221989,1.0915346207418846,PA14_00580
48,0.7530063421626418,0.8976026287724017,0.9227289371087868,1.016738650713048,PA14_00590
49,0.7729525456166824,0.6239947096064284,0.7491880896610353,0.9662682993513974,PA14_00600
50,0.6091498767738747,0.6387109031259084,0.7169381372459815,0.9597479205468101,PA14_00620
51,2.06556687951244,2.1380665170490025,2.144566176978981,2.0982936544942157,PA14_00630
52,2.063882901878178,2.023756643330658,2.070323499986724,1.8913969906462091,phzH
53,2.934680575951994,2.9320319042413527,3.0576754316336974,2.9213981370834765,PA14_00650
54,1.0157648380539273,0.9941573132302832,1.120501734934055,1.0842913448532998,PA14_00660
55,1.7056252106727328,1.6932987693656347,1.8263429118716277,1.8503178152190252,PA14_00670
56,0.4997288766409897,0.5575966595203462,0.5867551625993268,0.940612991326803,PA14_00680
57,0.9116339795017362,0.9506162322734283,0.9555790808566794,1.0805606733357591,PA14_00690
58,0.5498427546246994,0.6278018633149722,0.6281792282145238,0.8918103674666782,PA14_00700
59,3.295074567003211,3.25209544091909,2.755327533034113,2.643730755621971,osmC
60,2.9113686548381743,2.8505020247396398,2.456474593331891,2.360180278988778,PA14_00720
61,2.035754043852122,1.975858707900405,1.9137213843700847,1.7522502811264857,PA14_00730
62,1.8043125082375815,1.7926512832236945,1.5360688228463115,1.4000944493305698,PA14_00740
63,1.197452565336617,1.1603410723481882,1.3244506005026717,1.2196507303832196,PA14_00750
64,1.4720701840399213,1.4387371879590087,1.5864053293423814,1.522678776301904,PA14_00760
