,wt_b,wt_b_genes,b,b_genes,wt,wt_genes,a,a_genes
0,27.990222114572667,PA14_03410,11.563717595440345,PA14_03410,24.688159699386972,PA14_03410,51.147989630567885,PA14_07470
1,45.1658254480576,PA14_07470,37.97301188464181,PA14_07470,50.52978818408323,PA14_07470,1187.192934251345,PA14_08580
2,1757.817962007549,PA14_08580,16.300426682105236,PA14_08110,2109.2458207238924,PA14_08580,105.62842951807019,PA14_08590
3,259.8087527843549,PA14_08590,1170.9315642064796,PA14_08580,223.81873198267158,PA14_08590,1105.6440705483656,PA14_08660
4,1871.361408160473,PA14_08660,152.21942715566806,PA14_08590,1317.2848267803433,PA14_08660,721.7737115021182,PA14_08670
5,1455.2588991506818,PA14_08670,726.4708856816247,PA14_08660,1035.052065490871,PA14_08670,2242.7615899592697,PA14_08690
6,1935.9040617344608,PA14_08690,587.3069071537107,PA14_08670,2369.801610896689,PA14_08690,203.5206738720288,PA14_20500
7,283.1705362690819,PA14_20500,1343.4042870825258,PA14_08690,222.80733172914887,PA14_20500,1595.614837962943,PA14_21800
8,1844.704630532773,PA14_21800,146.25110092661296,PA14_20500,2053.9613542567486,PA14_21800,1001.1199950423807,PA14_21810
9,1187.128413341914,PA14_21810,834.0332171821079,PA14_21800,1487.286899333457,PA14_21810,752.7748748796021,PA14_23490
10,784.8210126629916,PA14_23490,644.8872142515013,PA14_21810,738.6816614759475,PA14_23490,843.8402425115692,PA14_23570
11,1033.7703828214637,PA14_23570,414.86364461109076,PA14_23490,1128.0735283041604,PA14_23570,1459.985700798559,PA14_23580
12,2640.8493757225433,PA14_23580,566.0829786534788,PA14_23570,1701.3455223217404,PA14_23580,18.35891929302887,PA14_24870
13,10.814625459010783,PA14_24870,1133.8190083029215,PA14_23580,18.227752692195008,PA14_24870,496.6935867540531,PA14_28740
14,982.0085276578748,PA14_27610,414.86364461109076,PA14_27610,691.0891016310964,PA14_27610,394.3254060664656,PA14_41330
15,690.477410863893,PA14_28740,370.73017948303135,PA14_28740,601.818035256179,PA14_28740,737.7896492830682,PA14_41340
16,12.491843082406382,PA14_30890,266.29722455559306,PA14_41330,11.914466492378226,PA14_30720,405.9509287634466,PA14_51660
17,657.5677018576591,PA14_41200,529.1858894761974,PA14_41340,498.5564379662488,PA14_41330,1443.7191512180718,PA14_52540
18,498.89867668866367,PA14_41330,282.2150174695003,PA14_51660,1168.1803309540244,PA14_41340,415.4858722402959,PA14_54840
19,1154.2185396336818,PA14_41340,1202.6233267636342,PA14_52540,1529.9630372592558,PA14_52540,14.562946506097747,PA14_58710
20,550.6603762985959,PA14_51660,225.86921391642517,PA14_54840,470.32192999583316,PA14_54840,97.4384375659309,PA14_60620
21,1846.1503256622395,PA14_52540,125.12371492787705,PA14_60620,199.1191525281957,PA14_60620,1018.9401378334263,PA14_61760
22,528.282588038822,PA14_54840,571.3101484498608,PA14_61760,1133.1836721736797,PA14_61760,37.64660296713602,PA14_61830
23,116.8477293624347,PA14_58710,14.204649905452056,PA14_61830,18.227752692195008,PA14_61830,1563.2892619810464,PA14_62790
24,189.93155175336935,PA14_60620,999.2712214883292,PA14_62790,1573.0293018657565,PA14_62790,14.562946506097747,PA14_68030
25,1053.3090801909889,PA14_61760,19.570805066991532,PA14_68030,24.796177800071334,PA14_68030,,
26,23.082909471652467,PA14_61830,,,13.97973283706486,PA14_68150,,
27,1481.5726811791417,PA14_62790,,,,,,
28,30.5781472118982,PA14_68030,,,,,,
29,15.789072845025808,PA14_68150,,,,,,
