,wt_b,wt_b_genes,b,b_genes,wt,wt_genes,a,a_genes
0,27.990414190806668,PA14_03410,11.563793774557906,PA14_03410,24.688227465894258,PA14_03410,51.14818618517462,PA14_07470
1,45.166135387779484,PA14_07470,37.97327246539342,PA14_07470,50.52994075319118,PA14_07470,1187.1974964685894,PA14_08580
2,1757.8305071207362,PA14_08580,16.300529591249784,PA14_08110,2109.25276832614,PA14_08580,105.62889342146164,PA14_08590
3,259.8106069753355,PA14_08590,1170.9399208562152,PA14_08580,223.81946921467656,PA14_08590,1107.6039082782859,PA14_08660
4,1871.3747636052271,PA14_08660,152.22051350817114,PA14_08590,1317.2884425942761,PA14_08660,719.8390980752504,PA14_08670
5,1455.269284974471,PA14_08670,726.4756715050893,PA14_08660,1035.0549066043518,PA14_08670,2242.770208579972,PA14_08690
6,1935.9178778042126,PA14_08690,587.3107761968238,PA14_08670,2369.808115762993,PA14_08690,203.52156770270742,PA14_20500
7,283.1725571873485,PA14_20500,1343.4131371216483,PA14_08690,222.80794331279276,PA14_20500,1593.6836417135821,PA14_21800
8,1844.717795734681,PA14_21800,146.25214468464395,PA14_20500,2053.9669921734167,PA14_21800,1001.1238422072125,PA14_21810
9,1187.1368855845665,PA14_21810,834.0391694714449,PA14_21800,1487.2909817859252,PA14_21810,752.7777676886951,PA14_23490
10,784.8266137369642,PA14_23490,644.8914626204626,PA14_21810,738.6836890825737,PA14_23490,843.843485272198,PA14_23570
11,1033.7777605856818,PA14_23570,414.86660539058636,PA14_23490,1128.0766247521706,PA14_23570,1459.9913113204454,PA14_23580
12,2640.8682228131097,PA14_23580,566.0870186480596,PA14_23570,1701.35019234353,PA14_23580,18.35898984380101,PA14_24870
13,10.814696703281273,PA14_24870,1133.8271000895002,PA14_23580,18.22780272553693,PA14_24870,496.69549547839046,PA14_28740
14,982.0155360105009,PA14_27610,414.86660539058636,PA14_27610,691.0913779955431,PA14_27610,394.3271378814139,PA14_41330
15,690.4823386308517,PA14_28740,370.7326217683686,PA14_28740,601.819687185961,PA14_28740,737.7924845060246,PA14_41340
16,12.491921946899348,PA14_30890,266.2991250531962,PA14_41330,11.914499196386553,PA14_30720,405.95248877637647,PA14_51660
17,657.5723947561426,PA14_41200,529.1896661453543,PA14_41340,498.5580801512398,PA14_41330,1443.7246992298715,PA14_52540
18,498.90223720545396,PA14_41330,282.21703156846496,PA14_51660,1168.183537491161,PA14_41340,415.4876969886719,PA14_54840
19,1154.2267770066837,PA14_41340,1202.6312493701002,PA14_52540,1529.9672368534164,PA14_52540,14.563002469474688,PA14_58710
20,550.6643062258681,PA14_51660,223.19369740301946,PA14_54840,470.323479179748,PA14_54840,97.43883875422527,PA14_60620
21,1846.1624876768803,PA14_52540,125.1245392141942,PA14_60620,199.11969909017787,PA14_60620,1018.9446128576956,PA14_61760
22,528.2863582613394,PA14_54840,571.313912109999,PA14_61760,1133.1867826485193,PA14_61760,37.64674763779257,PA14_61830
23,116.8485632758559,PA14_58710,14.204739583372694,PA14_61830,18.22780272553693,PA14_61830,1563.2952694841433,PA14_62790
24,189.93290724800306,PA14_60620,999.2783530405429,PA14_62790,1573.033619672468,PA14_62790,14.563002469474688,PA14_68030
25,1053.3160191494674,PA14_61760,19.570933994963674,PA14_68030,24.79625266938829,PA14_68030,,
26,23.083067872622028,PA14_61830,,,11.816475268043028,PA14_68150,,
27,1481.583254797902,PA14_62790,,,,,,
28,30.578357047151925,PA14_68030,,,,,,
29,15.789176859814006,PA14_68150,,,,,,
